UserId,Condition,Scenario,Direction,TimeStamp,Resistance,DtInMs,ConWPosX,ConWPosY,ConWPosZ,ConPosX,ConPosY,ConPosZ,ConRotX,ConRotY,ConRotZ,IsHit,DotId,HitPosX,HitPosY,HitPosZ,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,EyeOriginX,EyeOriginY,EyeOriginZ,EyeDirectionX,EyeDirectionY,EyeDirectionZ,EyeHitPosX,EyeHitPosY,label
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:56:54.48,67245.33,4.02,1.633805,0.872469,-1.047917,-0.5662452,0.872469,-0.2399843,270.687,308.1976,183.1654,TRUE,39,1.634054,1.00268,-1.048018,1.865759,1.088623,-1.014971,8.864467,263.7927,1.986228,1.896428,1.098323,-0.9840241,-0.9592586,-0.2824379,0.004291327,0.5911739,0.2998873,4
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:56:56.03,63071.82,5.57,1.61238,0.8721297,-1.036159,-0.5875527,0.8721297,-0.2280139,270.8856,325.1008,160.3754,TRUE,0,1.612743,1.002684,-1.036366,1.86606,1.08876,-1.015291,8.891356,263.8822,2.002944,1.896746,1.098314,-0.9837288,-0.9603111,-0.2765917,0.03589588,0.6004257,0.3103182,4
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:56:56.84,58637.68,6.38,1.595085,0.8717104,-1.018102,-0.6046672,0.8717104,-0.2097856,270.7766,314.586,165.433,TRUE,1,1.595348,1.002343,-1.018431,1.865375,1.08859,-1.014363,8.995807,263.9242,1.884967,1.904909,1.096841,-1.022408,-0.9622512,-0.2654704,-0.0598241,0.540558,0.3117098,4
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:00.25,63501.62,9.79,1.614774,0.8720713,-1.061378,-0.5854094,0.8720713,-0.2532558,270.8096,314.5493,174.8938,TRUE,38,1.615053,1.002368,-1.061237,1.862881,1.088085,-1.024213,9.334852,261.44,3.030085,1.901938,1.096441,-1.026774,-0.9451155,-0.2802524,-0.167959,0.5081874,0.2781634,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:01.06,57839.29,10.6,1.597599,0.8720688,-1.080297,-0.6027713,0.8720688,-0.2720025,270.7559,313.3581,175.9035,TRUE,37,1.598282,1.003716,-1.080252,1.858889,1.087594,-1.036694,9.467629,258.9144,3.727373,1.901341,1.094166,-1.05373,-0.9354245,-0.2678514,-0.230714,0.4671709,0.2839212,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:01.71,51700.03,11.25,1.578524,0.8720512,-1.096725,-0.6220086,0.8720512,-0.2882402,270.8221,314.9132,173.9307,TRUE,36,1.58005,1.002706,-1.097029,1.861923,1.091048,-1.035384,7.493828,258.4004,2.763863,1.902118,1.096598,-1.044592,-0.940587,-0.2386276,-0.241559,0.4613933,0.3598002,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:02.15,46789.09,11.69,1.560335,0.8718737,-1.113842,-0.6403674,0.8718737,-0.3051751,270.8552,315.1245,174.0452,TRUE,35,1.561506,1.001696,-1.113885,1.862762,1.094882,-1.043079,5.609899,256.5262,2.029814,1.89974,1.101166,-1.033034,-0.9415202,-0.2240566,-0.2516471,0.4581963,0.4300987,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:02.59,44627.38,12.13,1.54347,0.8717343,-1.132962,-0.6574215,0.8717343,-0.3241273,270.8433,311.6601,178.608,TRUE,34,1.544473,1.001135,-1.13293,1.850963,1.097567,-1.052411,4.994158,255.2565,1.194294,1.894419,1.102947,-1.051762,-0.9260401,-0.2084738,-0.3146119,0.4090955,0.4863135,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:03.43,39130.7,12.97,1.507437,0.8715284,-1.166178,-0.6937827,0.8715284,-0.3569835,270.6429,300.0438,192.1564,TRUE,32,1.508486,1.002007,-1.166788,1.833984,1.102422,-1.071468,4.519998,253.3891,1.275762,1.859133,1.108123,-1.03488,-0.9546568,-0.2275369,-0.1919792,0.4743903,0.5364993,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:04.02,46181.63,13.56,1.51262,0.8715208,-1.151406,-0.6884537,0.8715208,-0.3422633,270.7431,305.4987,184.696,TRUE,33,1.513313,1.003456,-1.152106,1.834527,1.101125,-1.073089,4.449082,253.1736,1.441502,1.865559,1.10675,-1.052279,-0.9463014,-0.2448146,-0.2110944,0.4592693,0.4655483,1
