UserId,Condition,Scenario,Direction,TimeStamp,DtInMs,ConWPosX,ConWPosY,ConWPosZ,ConPosX,ConPosY,ConPosZ,ConRotX,ConRotY,ConRotZ,IsHit,DotId,HitPosX,HitPosY,HitPosZ,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,EyeOriginX,EyeOriginY,EyeOriginZ,EyeDirectionX,EyeDirectionY,EyeDirectionZ,EyeHitPosX,EyeHitPosY,mean_col,abs_col,mean_abs1_col,mean_abs2_col,square_col,var_col,rms_col,wave_col,log_col,skweness_col,kurtios_col,label,Direction
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:06.28,15.82,1.45598,0.8712646,-1.222186,-0.7457944,0.8712646,-0.4124764,270.6881,288.3557,210.4963,TRUE,29,1.45681,1.0017,-1.222653,1.837599,1.099746,-1.079056,4.221621,252.0351,0.3449323,1.876534,1.104988,-1.074465,-0.9231971,-0.1851203,-0.3367929,0.3615044,0.6124526,30859.23214,432029.25,23202.51321,15480.4501,13333153754,81756.56942,30860.46217,1821.74,4.489367762,-14.10891701,259.5081028,1,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:06.80,16.34,1.433074,0.8710046,-1.212992,-0.768608,0.8710046,-0.4030557,270.6787,290.0223,206.2246,TRUE,28,1.433894,1.002458,-1.213925,1.837241,1.099762,-1.082249,4.134854,251.7334,0.4928418,1.874916,1.105165,-1.075906,-0.9350779,-0.1805123,-0.3050185,0.3709598,0.6463571,28864.43357,404102.07,21647.64464,14136.22776,11672228206,619296.2053,28874.39326,2443.76,4.460214157,2.800928335,24.85905321,2,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:07.14,16.68,1.414105,0.8703833,-1.194976,-0.7873964,0.8703833,-0.3848513,270.7108,294.4142,197.9168,TRUE,27,1.414983,1.000756,-1.195849,1.837115,1.10084,-1.079622,3.654227,252.1726,0.1523472,1.885152,1.105368,-1.095371,-0.9231318,-0.1875602,-0.3356202,0.3460338,0.5919389,27667.9025,221343.22,22484.98625,17254.89313,6124205677,14721.01248,27668.13528,566.4,4.441972586,0.985620043,10.52608259,2,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:07.67,17.21,1.403335,0.8704119,-1.173065,-0.7979482,0.8704119,-0.3628346,270.6915,300.0651,187.9983,TRUE,26,1.403543,1.001084,-1.173219,1.836193,1.102443,-1.079249,2.461446,252.768,359.6187,1.876573,1.106636,-1.078436,-0.9509484,-0.1710595,-0.2577271,0.3824395,0.7153827,28235.24714,395293.46,21203.2,14383.00429,11168840169,587048.614,28244.89862,3747.99,4.450644401,25.13360984,324.8680978,2,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:07.94,17.48,1.384413,0.8699872,-1.154936,-0.8166894,0.8699872,-0.3445185,270.6986,302.0763,182.1893,TRUE,25,1.385301,1.00043,-1.156233,1.834357,1.105228,-1.078157,1.039646,254.1366,359.0422,1.87772,1.107384,-1.079106,-0.96413,-0.1678114,-0.2056001,0.4051908,0.7496222,28269.22143,197884.55,22200.33571,16156.65449,5594060436,3045.769748,28269.2676,278.34,4.451313138,0.111513288,15.52295334,2,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:08.62,18.16,1.349193,0.8697522,-1.113953,-0.8515005,0.8697522,-0.3031868,270.8582,324.7125,150.9063,TRUE,23,1.349934,1.001775,-1.114631,1.827141,1.10377,-1.077307,0.3139128,257.9241,359.6102,1.869153,1.106281,-1.082635,-0.9776689,-0.158294,-0.1381634,0.4334091,0.8208699,27508.51706,467644.79,20238.08441,12761.57882,12868630086,275962.6564,27513.23755,1678.17,4.439392649,0.445139554,73.25733994,2,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:09.24,18.78,1.354442,0.8698896,-1.135349,-0.8464636,0.8698896,-0.3246343,270.8596,325.1622,154.886,TRUE,24,1.354465,1.001816,-1.134713,1.827499,1.101424,-1.069125,0.1604938,259.9776,0.3321519,1.857347,1.10456,-1.03865,-0.982981,-0.1693757,-0.07107692,0.5092919,0.7650164,26515.50667,397732.6,20288.12467,14039.81004,10547018779,66955.14028,26516.68504,1939.15,4.423480685,82.51161713,2357.533658,2,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:10.52,20.06,1.328046,0.869355,-1.107401,-0.8725803,0.869355,-0.2964258,270.8546,322.1458,152.1192,TRUE,22,1.328516,1.002711,-1.107713,1.822512,1.103479,-1.0681,359.3953,260.9091,0.2671036,1.860929,1.105439,-1.062811,-0.9833006,-0.1552854,-0.09474877,0.4727456,0.8498534,27118.44581,840671.82,20658.01419,13905.91219,22824549825,894554.4546,27134.40253,4255.01,4.433007379,-178225.733,85823229.17,2,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:11.26,20.8,1.310172,0.8691757,-1.088959,-0.8902708,0.8691757,-0.2778066,270.7977,328.2173,142.055,TRUE,21,1.31093,1.003054,-1.090059,1.824422,1.10314,-1.062473,359.5656,260.0979,0.4593438,1.864851,1.105707,-1.07133,-0.984148,-0.1428903,-0.1050015,0.4549428,0.9333056,25390.05556,457021,19038.53361,12636.15451,11604200167,24210.9772,25390.50584,1364.31,4.404655949,0.254502136,75.38254218,2,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:11.83,21.37,1.295518,0.8686416,-1.069166,-0.9047266,0.8686416,-0.2578686,270.9164,317.9053,147.8582,TRUE,20,1.296203,1.001941,-1.070137,1.821332,1.105115,-1.063251,358.4165,259.613,0.2332483,1.863794,1.105771,-1.068671,-0.9881719,-0.1328147,-0.07645635,0.4706391,0.9996955,24939.78571,349157,18706.68714,12435.32,8708051090,11563.83172,24940.00099,464.41,4.39688897,1.029917506,41.59204035,2,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:12.72,22.26,1.279826,0.8682387,-1.046098,-0.9201893,0.8682387,-0.2346461,270.9518,308.4219,151.9877,TRUE,19,1.280424,1.002551,-1.046741,1.815536,1.108657,-1.063163,359.0697,257.4173,358.3293,1.856784,1.109896,-1.065933,-0.9868266,-0.1464486,-0.06869078,0.4803313,0.9658161,23437.29333,492183.16,17007.415,10495.67864,12075502237,27003057.14,23979.6563,48725.44,4.318866029,-20968.56454,1601265.957,2,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:14.12,23.66,1.285538,0.868125,-1.034785,-0.9143643,0.868125,-0.2233901,270.9329,311.9647,145.0486,TRUE,18,1.285531,1.003272,-1.035287,1.820115,1.108977,-1.065132,358.9216,255.7489,357.2723,1.861424,1.111089,-1.069434,-0.9878701,-0.1549717,-0.008854358,0.5137057,0.9110998,24157.25147,821346.55,18112.08853,12069.7069,19841636938,4902.592874,24157.34996,1289.9,4.383045757,72.67552815,1009.25041,3,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:16.53,26.07,1.304179,0.8682403,-1.017912,-0.8955572,0.8682403,-0.2067039,270.8862,304.0436,149.0429,TRUE,17,1.304627,1.002644,-1.018614,1.828726,1.106503,-1.051546,359.0154,263.8702,356.1296,1.871461,1.109518,-1.077109,-0.9874132,-0.1524703,-0.04193299,0.4882261,0.8967409,24139.65286,1351820.56,18305.43598,12499.69893,32633227184,13602.55549,24139.92957,2159.25,4.382726056,10126.45727,629215.8423,3,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:17.91,27.45,1.32285,0.8690972,-1.000779,-0.8767164,0.8690972,-0.189757,270.9463,308.9323,140.2492,TRUE,16,1.322507,1.002469,-1.001017,1.838439,1.104942,-1.04446,0.2165803,264.5648,355.9779,1.87836,1.108411,-1.055669,-0.9884651,-0.15091,0.0119856,0.537186,0.8869736,25577.20758,844047.85,19062.84697,12755.64072,21605849246,545693.2205,25587.54979,3292.31,4.407676673,-9.837256796,266.0600166,3,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:19.18,28.72,1.343461,0.8689051,-0.9836841,-0.8559364,0.8689051,-0.1728678,271.0958,309.433,137.5498,TRUE,15,1.344168,1.003143,-0.9844111,1.848094,1.102987,-1.035403,0.9302846,267.1741,355.9885,1.889926,1.107643,-1.063029,-0.9900622,-0.1402213,0.009094911,0.5297444,0.9428732,27522.486,825674.58,20649.89167,13956.40789,22737419373,441458.7821,27530.23754,3007.39,4.439563587,-7.413926187,63.5456723,3,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:20.24,29.78,1.356089,0.8689289,-0.9644027,-0.8431177,0.8689289,-0.153713,271.118,309.7332,134.1961,TRUE,14,1.356961,1.003183,-0.9651948,1.852153,1.102031,-1.028106,1.373963,268.907,355.6661,1.893514,1.10718,-1.057245,-0.9878932,-0.1532013,0.02430618,0.5426037,0.8351123,29043.18423,755122.79,21726.50385,14711.18852,21946671010,620028.1302,29053.44611,2682.63,4.462891563,69.83150897,1984.007697,3,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:21.13,30.67,1.372721,0.8691236,-0.9444845,-0.8262882,0.8691236,-0.1339611,271.134,309.0892,132.3757,TRUE,13,1.373142,1.001419,-0.9452221,1.8575,1.102173,-1.025412,1.120397,270.5612,356.0219,1.895686,1.10593,-1.039038,-0.9821129,-0.1560877,0.1052823,0.6014282,0.7948645,30353.24095,637418.06,22402.41167,14552.46562,19349191722,74387.98229,30354.40795,2289.53,4.482188419,145.2602753,5614.947704,3,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:22.53,32.07,1.401725,0.8693926,-0.9196148,-0.7970387,0.8693926,-0.109381,271.1014,310.3247,130.3181,TRUE,12,1.40308,1.003133,-0.9198216,1.86737,1.10214,-1.012992,0.6925682,273.1989,355.5753,1.905638,1.105906,-1.028221,-0.9780564,-0.1592829,0.1342504,0.624724,0.7555397,32196.49941,1094680.98,24146.75471,16480.78394,35282504976,1139680.217,32213.6731,5148.54,4.507576871,1.33607962,311.3454615,3,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:23.20,32.74,1.410763,0.8684769,-0.9119754,-0.7879251,0.8684769,-0.1018318,271.0168,307.9332,133.0585,TRUE,11,1.41157,1.001668,-0.9127359,1.867798,1.101886,-1.012965,0.8663039,273.8386,356.0989,1.906346,1.105804,-1.029782,-0.9754599,-0.1672163,0.1431696,0.6244853,0.7054323,32147.73125,514363.7,24947.01906,17944.04094,16546132436,700429.5857,32157.94268,4106.28,4.507013127,47.51627167,1168.807411,3,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:24.16,33.7,1.429974,0.8687439,-0.8950765,-0.7685463,0.8687439,-0.08512473,271.0414,312.2734,128.8148,TRUE,10,1.430685,1.003014,-0.8958533,1.870907,1.101547,-1.00672,0.7032678,275.6647,355.5413,1.908473,1.105378,-1.025104,-0.969282,-0.1658014,0.1816438,0.6483009,0.7002901,34648.52913,796916.17,26358.12848,18320.07151,27623298976,514811.1637,34655.63445,3483.01,4.53959548,-5.533608709,138.6820312,3,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:25.11,34.65,1.444401,0.8684571,-0.8762501,-0.7539333,0.8684571,-0.06644273,270.9547,314.7081,125.8237,TRUE,9,1.445996,1.002526,-0.8771336,1.871971,1.10121,-1.005657,0.8832816,276.123,355.5177,1.909335,1.105848,-1.039787,-0.9686179,-0.1737481,0.1776728,0.6303009,0.6606951,36335.18087,835709.16,27704.72957,18964.12087,30370980055,242571.4472,36338.37357,3638.71,4.560289208,6.717322539,278.2305511,4,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:25.86,35.4,1.461048,0.8687586,-0.8826787,-0.7373509,0.8687586,-0.07303655,270.8994,309.9019,133.9303,TRUE,8,1.462726,1.002883,-0.882969,1.872887,1.100769,-1.002705,0.9741361,276.6772,355.4591,1.910718,1.104629,-1.019889,-0.9645254,-0.1797934,0.193233,0.6502182,0.6155686,37558.61444,676055.06,28051.87389,19096.39481,25429638820,2232204.589,37586.66934,4917.83,4.574388353,48.8742559,921.7238649,4,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:26.71,36.24,1.481538,0.8692201,-0.8993962,-0.7170279,0.8692201,-0.089957,270.7397,303.5915,145.3178,TRUE,7,1.482361,1.002462,-0.8995096,1.873227,1.100461,-1.000719,1.09315,276.8665,355.6281,1.910831,1.104377,-1.017732,-0.9674327,-0.1813549,0.1765053,0.6432998,0.6086527,44149.8419,927146.68,32574.98881,21687.74395,41018225420,4242303.784,44195.57477,9048.82,4.644476493,-1.421473271,78.106425,4,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:27.45,36.99,1.498155,0.8694829,-0.9177437,-0.7005942,0.8694829,-0.1084688,270.6726,308.8084,144.5422,TRUE,6,1.498998,1.002243,-0.9177949,1.873289,1.100054,-1.001315,1.352202,276.3716,355.9154,1.911116,1.104051,-1.019664,-0.9689041,-0.1920387,0.1559671,0.6279949,0.5610421,50000.90444,900016.28,37392.36583,25303.73914,45036623598,2058563.748,50020.34231,6333.7,4.698810681,11.76526642,120.1272029,4,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:28.94,38.48,1.517059,0.870064,-0.9345974,-0.6818585,0.870064,-0.1255096,270.6429,309.0099,149.0087,TRUE,5,1.517928,1.003742,-0.934613,1.869887,1.099753,-1.004421,1.75948,275.5432,356.6049,1.907791,1.103688,-1.021452,-0.9711058,-0.2072578,0.1182353,0.6061808,0.5081453,50148.5625,1805348.25,38296.74264,25581.39219,90805862349,7721222.854,50223.35179,17408.67,4.699608458,-6.306816808,2433.245204,4,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:29.48,39.02,1.534963,0.8702195,-0.9521275,-0.6641303,0.8702195,-0.1432167,270.6441,308.1715,154.6037,TRUE,4,1.5359,1.003535,-0.952195,1.87036,1.09977,-1.004676,1.748242,275.2092,356.599,1.908077,1.103369,-1.018527,-0.9703345,-0.2292746,0.07666834,0.588918,0.436113,52679.43154,684832.61,38369.82346,25486.30621,36210073160,11123380.52,52776.79645,10021.99,4.720838938,1.562706059,54.4058754,4,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:29.98,39.52,1.550479,0.871015,-0.972223,-0.648815,0.871015,-0.1634656,270.7843,325.321,142.0251,TRUE,3,1.550442,1.003463,-0.9719231,1.870747,1.099799,-1.006434,1.869217,274.3163,356.5236,1.908715,1.103462,-1.02082,-0.9702587,-0.2382208,0.04261935,0.5741455,0.4113673,63658.09385,827555.22,46490.03577,30828.31953,52834181067,12799434.13,63750.82568,11339.77,4.803213109,-2.362290571,35.29337041,4,1
1,VRKinArm,Diamond,CounterClockWise,2022-12-20_10:57:30.36,39.9,1.56693,0.8711693,-0.9920361,-0.6325614,0.8711693,-0.1834413,270.7149,325.2683,147.0092,TRUE,2,1.566962,1.002516,-0.9915786,1.871029,1.099916,-1.009754,1.92752,273.141,356.8892,1.907099,1.102303,-0.9836476,-0.9345552,-0.3390102,0.1079712,0.6163838,0.2075307,72348.39273,795832.32,55868.69909,40247.90041,57629922735,5273350.307,72381.51618,6986.9,4.859228732,-1.619384769,20.06952537,4,1
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:37.82,5.51,1.590304,0.8721364,-1.089068,-0.6101537,0.8721364,-0.2807004,270.8398,301.7224,187.6624,TRUE,38,1.590564,1.002428,-1.0891,1.874497,1.095763,-1.025196,4.63096,262.4445,358.4029,1.919012,1.101774,-1.047205,-0.9185799,-0.2554112,-0.3015935,0.4411178,0.313277,47966.53917,1151196.94,36932.51146,25468.54771,55265525047,2025736.351,47986.7712,5221.4,4.680756891,8.127432783,8.127432783,1,1
