UserId,Condition,Scenario,Direction,TimeStamp,Resistance,DtInMs,ConWPosX,ConWPosY,ConWPosZ,ConPosX,ConPosY,ConPosZ,ConRotX,ConRotY,ConRotZ,IsHit,DotId,HitPosX,HitPosY,HitPosZ,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,EyeOriginX,EyeOriginY,EyeOriginZ,EyeDirectionX,EyeDirectionY,EyeDirectionZ,EyeHitPosX,EyeHitPosY,label
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:45.15,27023.5,12.83,1.386679,0.8702143,-1.186923,-0.814741,0.8702143,-0.3765264,270.7097,286.7347,203.5657,TRUE,27,1.387128,1.00219,-1.187423,1.833566,1.103001,-1.076332,1.829069,257.2239,352.5288,1.871932,1.106904,-1.072898,-0.9587542,-0.1696239,-0.2280381,0.4006331,0.7395478,4
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:45.62,26805.96,13.31,1.367377,0.869852,-1.172574,-0.8338993,0.869852,-0.3619863,270.7072,287.9312,199.5047,TRUE,26,1.367853,1.001852,-1.172891,1.832248,1.107039,-1.076461,359.7181,257.5422,352.8047,1.869787,1.108732,-1.07017,-0.9688338,-0.1675879,-0.1823821,0.4232103,0.7794959,4
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:46.07,26560.47,13.76,1.349722,0.8696287,-1.155326,-0.8513825,0.8696287,-0.3445634,270.7209,289.137,194.9458,TRUE,25,1.350423,1.003618,-1.156236,1.828214,1.110104,-1.07843,357.8799,259.8552,353.7738,1.869471,1.111569,-1.080005,-0.9727253,-0.1533919,-0.1739399,0.4083477,0.8979492,4
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:46.51,26268.19,14.2,1.334686,0.8691919,-1.138067,-0.8662459,0.8691919,-0.3271554,270.7476,302.4289,178.2741,TRUE,24,1.335063,1.002959,-1.138591,1.825712,1.110637,-1.078058,357.0419,260.314,354.0518,1.867155,1.111809,-1.08431,-0.9739235,-0.1451727,-0.1742803,0.3985544,0.9647741,4
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:47.07,26049.56,14.76,1.320582,0.8693517,-1.123107,-0.8802004,0.8693517,-0.3120563,270.804,317.6998,160.0515,TRUE,23,1.320689,1.003823,-1.123362,1.820156,1.108964,-1.07583,356.7495,261.581,354.6733,1.862252,1.110153,-1.082297,-0.9806098,-0.1472066,-0.1292648,0.4304067,0.9475091,4
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:47.55,25862.86,15.23,1.309045,0.8691016,-1.102339,-0.8915303,0.8691016,-0.2911743,270.7838,313.7774,159.5698,TRUE,22,1.309445,1.003254,-1.10314,1.815681,1.109341,-1.075185,357.3399,261.5888,354.5417,1.857587,1.110499,-1.082786,-0.9830483,-0.1537425,-0.09975544,0.4500932,0.9144322,4
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:48.49,25423.54,16.18,1.302751,0.8681703,-1.079772,-0.8976001,0.8681703,-0.2685465,270.8758,303.9872,164.5186,TRUE,21,1.303081,1.002212,-1.080399,1.816776,1.109058,-1.074518,357.8853,261.0335,354.6818,1.857649,1.111167,-1.082149,-0.9862708,-0.1533365,-0.0612037,0.4725628,0.927166,4
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:50.21,25337.93,17.9,1.304767,0.868387,-1.054285,-0.8953303,0.868387,-0.2430807,270.945,303.3804,158.9583,TRUE,20,1.304887,1.003456,-1.054615,1.823452,1.108264,-1.073804,358.0341,260.7489,355.1147,1.905191,1.119792,-1.028461,-0.9053063,-0.4021864,-0.1365244,0.5201935,0.1945402,3
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:53.15,26682.81,20.84,1.298283,0.8685859,-1.032471,-0.9015974,0.8685859,-0.2212027,270.8783,298.0188,158.5067,TRUE,19,1.298441,1.002004,-1.033354,1.815858,1.107558,-1.067765,357.1548,261.7741,355.1111,1.855442,1.108979,-1.077868,-0.9860082,-0.1663201,0.01037254,0.5172324,0.8275585,3
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:54.34,26444,22.03,1.301679,0.8685242,-1.009126,-0.8979694,0.8685242,-0.1978934,270.9931,294.4554,156.1997,TRUE,18,1.302307,1.003074,-1.009902,1.818585,1.107957,-1.070696,357.3487,261.31,354.8672,1.863237,1.110292,-1.094031,-0.9879467,-0.1547287,-0.001904566,0.4972172,0.9022148,3
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:56.06,26288.19,23.75,1.309001,0.8682631,-0.9861535,-0.8904189,0.8682631,-0.1749945,271.0176,293.2837,151.9076,TRUE,17,1.309428,1.003861,-0.9865032,1.823628,1.105432,-1.059766,357.176,264.0082,355.1507,1.863865,1.106749,-1.069188,-0.9866247,-0.1569702,0.04388157,0.5429462,0.8507046,3
